,Team,GP,Round reached,W,L
1,New York Islanders,11,2,5,6
2,Florida Panthers,6,1,2,4
3,Detroit Red Wings,5,1,1,4
4,Tampa Bay Lightning,17,3,11,6
5,Philadelphia Flyers,6,1,2,4
6,Washington Capitals,12,2,6,6
7,New York Rangers,5,1,1,4
8,Pittsburgh Penguins,24,5,16,8
9,Minnesota Wild,6,1,2,4
10,Dallas Stars,13,2,7,6
11,Chicago Blackhawks,7,1,3,4
12,St Louis Blues,20,3,10,10
13,Nashville Predators,14,2,7,7
14,Anaheim Ducks,7,1,3,4
15,San Jose Sharks,24,4,14,10
16,Los Angeles Kings,5,1,1,4